pattern,commit,date,count
AddBuildAssetCA (54),78fd82238d0e5716578c326404184a27ba67fd6e,2013-12,1
AddDep (26),ca40e295018f7df46c7b8a12c3e82b88418322fb,2013-09,1
AddDep (26),f735bba4cc1435d0e9107f77f26f96a3483db0b1,2013-09,1
AddDep (26),80d26236c7c583ea2f43b68008ab7e067102c62c,2013-09,1
AddDep (26),4b88e330914941c86198ca0b48f4ce16f112bbf0,2013-09,1
AddDep (26),66bf8fa2aca2ec215ce3f5bb0fdffe1a79192b57,2013-10,1
AddDep (26),1d3d59108e53ce9815651ee20633506d559bacf6,2013-10,1
AddDep (26),7e66e2689cc3ec18b12ef95e6ed094a367886f50,2013-10,1
AddDep (26),4777f79689bc722d12b3cfa1e2e92809cbe7bb38,2013-10,1
AddDep (26),6197c34425c3d9a622d3a7031c91104909224a67,2013-10,1
AddDep (26),796c8e1c3439aa6f2aef75d767defa0243ed6ead,2013-10,1
AddDep (26),33777f34b5cc16a9fb2cd480e7db84c8de631fde,2013-10,1
AddDep (26),9e3396ae42d52c5cf4064af3e7c1baffb039ff54,2013-10,1
AddDep (26),92359d6d65e34c99935514d706fe1ddd0b2f137c,2013-10,1
AddDep (26),54128df2ba578b091c563d8e698f4944020fb8d9,2013-10,1
AddDep (26),d4f9e7b3d12e92ede642f6f4fc7d959f06da8ccc,2013-10,1
AddDep (26),90890b1ef568a54547ef0490a7c15d7357b98bc9,2013-10,1
AddDep (26),686245bee9528a2f62fa88b1f776eacd94d858ee,2013-10,1
AddDep (26),2bf75084f6d9f9a91ba6e30a501ff070d8a1acf6,2013-10,1
AddDep (26),3352b80075a2dcc3ee6d7270620cba61878bfc05,2013-11,1
AddDep (26),7badfb1c34f85e2b68252e4596d96e9b76f2b0ac,2013-11,1
AddDep (26),9ebddac7ea2a1f4b4ce3335a78312a58dfaadb4d,2013-11,1
AddDep (26),72ac01274a8e03eb39756284edb4aa2804599d23,2013-11,1
AddDep (26),88ec6a4d836904a75bef87bfcd906193ad11d88a,2013-11,1
AddDep (26),930ba4a374b96560ef9fde2145cdc454a164ddcc,2013-11,1
AddDep (26),7cd0c298f6e09476f474b7ae6c1ca876c5d7f881,2013-12,1
AddDep (26),a844f38671d45ee6d981cfe41c5c4c2334578d73,2013-12,1
AddDepCA (7),5ce0ba88650f2606244a761d92e2b725f4ab3583,2013-09,1
AddDepCA (7),b59278548e2383976f7db5fd3389f9116a6f240d,2013-09,1
AddDepCA (7),ad14ad735f48ca39e5de8dc7a9186509e7c196e3,2013-10,1
AddDepCA (7),c0ced86d38f418448dce1ca8a825dfd16ee9a23a,2013-10,1
AddDepCA (7),f02ae59b1230853693d09a1003075d671f1a6f7d,2013-10,1
AddDepCA (7),5c509a2bb4d3ea6a26393e13ac4f054a2fb111ca,2013-11,1
AddDepCA (7),32ac486967a1786ffbdf958cfb2c33f42c5a6103,2013-12,1
