amount,tags
2, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'ModifyDepends'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'changeAsset'| 'removeAsset']
2, Tags = ['AddedMapping'| 'Addedbuild'| 'Modifybuild'| 'addAsset'| 'changeAsset'| 'no-fm-tag-changed']
2, Tags = ['AddedMapping'| 'RemoveMapping'| 'changeAsset'| 'no-fm-tag-changed']
2, Tags = ['ModifyDefault'| 'no-am-tag-changed'| 'no-ck-tag-changed']
2, Tags = ['RemoveSelect'| 'no-am-tag-changed'| 'no-ck-tag-changed']
2, Tags = ['Modifybuild'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'no-fm-tag-changed'| 'removeAsset']
2, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'addAsset'| 'changeAsset']
2, Tags = ['AddedFeature'| 'AddedMapping'| 'Addedbuild'| 'Modifybuild'| 'addAsset'| 'changeAsset']
2, Tags = ['AddedFeature'| 'NewDefault'| 'changeAsset'| 'no-ck-tag-changed']
2, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'ModifyDepends'| 'Modifybuild'| 'NewSelect'| 'addAsset'| 'changeAsset']
2, Tags = ['AddedFeature'| 'AddedMapping'| 'AddedMenu'| 'Addedbuild'| 'NewDepends'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'changeAsset']
2, Tags = ['AddedDepends'| 'ModifyDepends'| 'changeAsset'| 'no-ck-tag-changed']
2, Tags = ['AddedSelect'| 'ModifyFeature'| 'RemoveDepends'| 'RemoveFeature'| 'changeAsset'| 'no-ck-tag-changed']
2, Tags = ['AddedDepends'| 'AddedSelect'| 'Addedbuild'| 'ModifyDefault'| 'ModifyFeature'| 'Modifybuild'| 'NewDepends'| 'NewSelect'| 'RemoveDefault'| 'RemoveDepends'| 'RemoveFeature'| 'Removebuild'| 'addAsset'| 'changeAsset']
1, Tags = ['Modifybuild'| 'RemoveSelect'| 'Removebuild'| 'Removeifdef'| 'changeAsset']
1, Tags = ['AddedMapping'| 'addAsset'| 'no-fm-tag-changed']
1, Tags = ['Addedbuild'| 'ModifyMapping'| 'addAsset'| 'no-fm-tag-changed']
1, Tags = ['ModifyFeature'| 'RemoveDefault'| 'RemoveFeature'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['AddedFeature'| 'Addedbuild'| 'Modifybuild'| 'NewDepends'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'RemoveMapping'| 'changeAsset']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'Modifybuild'| 'NewDepends'| 'NewSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'ModifySelect'| 'RemoveMapping'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedSelect'| 'Addedbuild'| 'ModifyDefault'| 'ModifyDepends'| 'ModifyFeature'| 'ModifySelect'| 'RemoveDepends'| 'RemoveMapping'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'ModifyDepends'| 'Modifybuild'| 'RemoveMapping'| 'changeAsset'| 'removeAsset']
1, Tags = ['ModifyDefault'| 'ModifyDepends'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['RemoveDefault'| 'RemoveDepends'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['RemoveDepends'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedMapping'| 'Addedbuild'| 'Addedifdef'| 'changeAsset'| 'no-fm-tag-changed']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'Addedbuild'| 'Addedifdef'| 'NewDepends'| 'NewSelect'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['Modifybuild'| 'RemoveSelect'| 'Removebuild'| 'Removeifdef'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'Modifybuild'| 'NewSelect'| 'RemoveSelect'| 'Removebuild'| 'Removeifdef'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedDepends'| 'ModifyDefault'| 'ModifyDepends'| 'ModifyFeature'| 'RemoveDefault'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'Removebuild'| 'Removeifdef'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedMapping'| 'ModifyDepends'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'Addedbuild'| 'NewDefault'| 'changeAsset']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'changeAsset']
1, Tags = ['Addedbuild'| 'Modifybuild'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'no-fm-tag-changed'| 'removeAsset']
1, Tags = ['ModifyDepends'| 'RemoveDepends'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['AddedFeature'| 'AddedSelect'| 'Addedbuild'| 'addAsset'| 'changeAsset']
