Hash,author,KC-Tags,MF-Tags,AM-Tags
0d78868094c482367692cf40f6c364e06815ad05,Luis Alves,[('Added' | 'Feature') | ('Added' | 'Depends') | ('Added' | 'Default')],[('Added' | 'Mapping')],['addAsset']
fc20ffe1213beb09bb7fb6687b404fe48183a55e,Santosh Shilimkar,no-tag-changed,[('Added' | 'build')],['addAsset']
7f6b11a18c30743a7099d6e3110e45bd1b2cf54c,Daniel Jeong,[('Added' | 'Feature') | ('Added' | 'Depends') | ('New' | 'Depends') | ('New' | 'Select')],[('Added' | 'Mapping')],['addAsset']
9ed9c07d9b7d42fc7042247c2be283731186464f,Uwe Kleine-König,no-tag-changed,[('Added' | 'Mapping')],['addAsset']
