Hash,author,KC-Tags,MF-Tags,AM-Tags69c05eb2d8421cbe96c2c66ea6e3223d25928d92,Jani Nikula,no-tag-changed,[('Added' | 'build')],['addAsset']
4e646495c6153f304fe45b6564ee08d4df935bb1,Jani Nikula,no-tag-changed,[('Added' | 'build')],['changeAsset' | 'addAsset']
be4fc046bed35f7a50c8d5751abf555933d864ae,ymohanma,no-tag-changed,[('Added' | 'build')],['changeAsset' | 'addAsset']
9efff3899b90e5ead9e676af9736e891ee23ce41,Matt Fleming,no-tag-changed,no-tag-changed,['changeAsset']
58497204aaca75c53394ff2dee6603315b8a2ea4,Jussi Kivilinna,no-tag-changed,[('Added' | 'build')],no-tag-changed
b69f460dc1a074db3f759c2be9cd13271f91fbdd,Tomasz Figa,[('Remove' | 'Select')],[('Modify' | 'build') | ('Remove' | 'ifdef') | ('Remove' | 'build')],['changeAsset']
66fcbe6b7c2827866100837611c9838298a28486,Tomasz Figa,no-tag-changed,no-tag-changed,['removeAsset' | 'changeAsset']
a43736deb47d21bdb936afd5fbd92f938d10a121,Tomasz Figa,no-tag-changed,[('Added' | 'Mapping')],['addAsset']
2ec35a4252eae3d5277af041bd1b5ae4f6183cad,Tomasz Figa,no-tag-changed,[('Added' | 'build') | ('Modify' | 'Mapping')],['addAsset']
b444d1dfe296433a93d6b814d924e0ab99ad7e7b,Uwe Kleine-König,[('New' | 'Depends')],no-tag-changed,['changeAsset']
5ce0ba88650f2606244a761d92e2b725f4ab3583,Hiep Cao Minh,[('Added' | 'Depends')],no-tag-changed,['changeAsset']
0cdfcc0f9352a4c076fbb51299e2b12a35619a51,Mark Brown,no-tag-changed,[('Modify' | 'build')],['changeAsset' | 'addAsset']
4ddfebd3b0d5b65c69492408bb67fd1202104643,Mark Brown,[('Remove' | 'Feature')],no-tag-changed,['changeAsset']
d0175e7e78ef6dddf13a67f968332b3e44a5995d,Mark Brown,no-tag-changed,[('Modify' | 'build')],['changeAsset' | 'addAsset']
a0b03a616b08cf9d709812ff5cf7e9c0958d6807,Mark Brown,no-tag-changed,[('Modify' | 'build')],['changeAsset' | 'addAsset']
e3c51ca8fa4a0f3f13ba9be80bee2708cd723934,Mark Brown,no-tag-changed,[('Modify' | 'build')],['changeAsset' | 'addAsset']
fbce71cae72f9f8fd1f2d00e0d47d6cc5f74e2e1,Mark Brown,no-tag-changed,no-tag-changed,['changeAsset']
1700a449fec27c1cdabd9352c0da2c6ddf0bbaea,Guenter Roeck,no-tag-changed,[('Remove' | 'build')],no-tag-changed
ca40e295018f7df46c7b8a12c3e82b88418322fb,Guenter Roeck,[('Added' | 'Depends')],no-tag-changed,no-tag-changed
19c3205ceaffc8f860acf61537fa211087e4b8fc,John Stultz,no-tag-changed,no-tag-changed,['changeAsset']
389e067032fbb96e439abafae848dd447e4cafb4,John Stultz,no-tag-changed,no-tag-changed,['changeAsset']
7d930ce26e01470590cd003484b32df29529906c,Mark Brown,no-tag-changed,no-tag-changed,['changeAsset']
7f63037c8fb204f666367c6469f5a9b9d6888877,Russell King,[('Added' | 'Feature') | ('Added' | 'Depends') | ('New' | 'Select') | ('Added' | 'Select')],[('Added' | 'Mapping')],['addAsset' | 'changeAsset']
31507f74f1b2f540614b60cf98d6091f321e4290,Chen Gang,[('New' | 'Depends')],no-tag-changed,no-tag-changed
fb51b500a9adafb85a1c0b0544b547f30c9167e1,Cruz Julian Bishop,no-tag-changed,no-tag-changed,no-tag-changed
e0349d5bac22b344d1f3cf3fe127828b79177a15,Mark Einon,no-tag-changed,no-tag-changed,['addAsset' | 'changeAsset']
ad6343a49ee637de6352af1dc519067b9591b710,Ben Hutchings,[('New' | 'Depends')],no-tag-changed,no-tag-changed
9dbd5fe8b57753c626d04243004278ab07471403,Jon Bernard,no-tag-changed,no-tag-changed,no-tag-changed
51100bdc067706624f0ffe285e63a6099336e11a,Stephen Warren,no-tag-changed,[('Remove' | 'build')],['changeAsset' | 'removeAsset']
6ae894166c249398da16fe8dc5ab6112f996203b,Stephen Warren,no-tag-changed,no-tag-changed,['changeAsset' | 'removeAsset']
1a81b94d4fc8470848eb80e39a6001c48cc3fc29,Michael Opdenacker,[('Remove' | 'Feature') | ('Remove' | 'Default')],no-tag-changed,no-tag-changed
98f700f317967d45cf60c9843b3c42ce3c286f7c,Paul Moore,no-tag-changed,no-tag-changed,['changeAsset']
