X86_32
SEMAPHORE_SLEEPERS
X86
MMU
SBUS
GENERIC_ISA_DMA
GENERIC_IOMAP
ARCH_MAY_HAVE_PC_FDC
DMI
X86_PC
X86_ELAN
X86_VOYAGER
X86_NUMAQ
X86_SUMMIT
X86_BIGSMP
X86_VISWS
X86_GENERICARCH
X86_ES7000
ACPI_SRAT
X86_SUMMIT_NUMA
X86_CYCLONE_TIMER
ES7000_CLUSTERED_APIC
HPET_TIMER
HPET_EMULATE_RTC
SMP
NR_CPUS
SCHED_SMT
X86_UP_APIC
X86_UP_IOAPIC
X86_LOCAL_APIC
X86_IO_APIC
X86_VISWS_APIC
X86_MCE
X86_MCE_NONFATAL
X86_MCE_P4THERMAL
TOSHIBA
I8K
X86_REBOOTFIXUPS
MICROCODE
X86_MSR
X86_CPUID
NOHIGHMEM
HIGHMEM4G
HIGHMEM64G
VMSPLIT_3G
VMSPLIT_3G_OPT
VMSPLIT_2G
VMSPLIT_1G
PAGE_OFFSET
HIGHMEM
X86_PAE
NUMA
HAVE_ARCH_BOOTMEM_NODE
ARCH_HAVE_MEMORY_PRESENT
NEED_NODE_MEMMAP_SIZE
HAVE_ARCH_ALLOC_REMAP
ARCH_FLATMEM_ENABLE
ARCH_DISCONTIGMEM_ENABLE
ARCH_DISCONTIGMEM_DEFAULT
ARCH_SPARSEMEM_ENABLE
ARCH_SELECT_MEMORY_MODEL
HAVE_ARCH_EARLY_PFN_TO_NID
HIGHPTE
MATH_EMULATION
MTRR
EFI
IRQBALANCE
BOOT_IOREMAP
REGPARM
SECCOMP
KEXEC
CRASH_DUMP
PHYSICAL_START
HOTPLUG_CPU
DOUBLEFAULT
APM
APM_IGNORE_USER_SUSPEND
APM_DO_ENABLE
APM_CPU_IDLE
APM_DISPLAY_BLANK
APM_RTC_IS_GMT
APM_ALLOW_INTS
APM_REAL_MODE_POWER_OFF
PCI
PCI_GOBIOS
PCI_GOMMCONFIG
PCI_GODIRECT
PCI_GOANY
PCI_BIOS
PCI_DIRECT
PCI_MMCONFIG
ISA_DMA_API
ISA
EISA
MCA
SCx200
KPROBES
GENERIC_HARDIRQS
GENERIC_IRQ_PROBE
GENERIC_PENDING_IRQ
X86_SMP
X86_HT
X86_BIOS_REBOOT
X86_TRAMPOLINE
KTIME_SCALAR
EARLY_PRINTK
DEBUG_STACKOVERFLOW
DEBUG_STACK_USAGE
STACK_BACKTRACE_COLS
DEBUG_PAGEALLOC
DEBUG_RODATA
4KSTACKS
X86_FIND_SMP_CONFIG
X86_MPPARSE
PPC64
PPC32
64BIT
PPC_MERGE
RWSEM_GENERIC_SPINLOCK
RWSEM_XCHGADD_ALGORITHM
GENERIC_CALIBRATE_DELAY
PPC
COMPAT
SYSVIPC_COMPAT
GENERIC_NVRAM
SCHED_NO_NO_OMIT_FRAME_POINTER
PPC_OF
PPC_UDBG_16550
GENERIC_TBSYNC
DEFAULT_UIMAGE
CLASSIC32
PPC_52xx
PPC_82xx
PPC_83xx
PPC_85xx
40x
44x
8xx
E200
POWER4_ONLY
POWER3
POWER4
6xx
83xx
85xx
E500
PPC_FPU
BOOKE
FSL_BOOKE
PTE_64BIT
PHYS_64BIT
ALTIVEC
SPE
PPC_STD_MMU
PPC_STD_MMU_32
VIRT_CPU_ACCOUNTING
NOT_COHERENT_CACHE
PPC_MULTIPLATFORM
PPC_ISERIES
EMBEDDED6xx
APUS
PPC_PSERIES
PPC_CHRP
PPC_PMAC
PPC_PMAC64
PPC_PREP
PPC_MAPLE
PPC_CELL
XICS
U3_DART
MPIC
PPC_RTAS
RTAS_ERROR_LOGGING
RTAS_PROC
RTAS_FLASH
MMIO_NVRAM
MPIC_BROKEN_U3
CELL_IIC
IBMVIO
IBMEBUS
PPC_MPC106
CPU_FREQ_PMAC
CPU_FREQ_PMAC64
PPC601_SYNC_FIX
TAU
TAU_INT
TAU_AVERAGE
FORCE_MAX_ZONEORDER
IOMMU_VMERGE
