pattern,commit,date,count
NewDep,31507f74f1b2f540614b60cf98d6091f321e4290,2013-09,1
NewDep,ad6343a49ee637de6352af1dc519067b9591b710,2013-09,1
NewDep,9d7278d0b4238575739a96f64fb14b30ed0589b5,2013-09,1
NewDep,965e260a064a35359bc6281aa76c39e3f43ed9ba,2013-09,1
NewDep,7ba0127805abf27f0549f327699283e1dbed12f3,2013-09,1
NewDep,6170155d4affa14eb13cb789623d54baba2bf241,2013-09,1
NewDep,7df697c81587114ad4847598dd2d6061b73f1a12,2013-10,1
NewDep,8addac75a1ab0d8bd5fd25dbbc58e02ddfb089c9,2013-10,1
NewDep,2ab61fa04722d74df1154c6a03e6eb8923b22ab0,2013-10,1
NewDep,6e078bc2f2406ccbb986a9922cc80ae8ca7abca3,2013-10,1
NewDep,de00b30d054857990dc573648e4767ec512009c7,2013-10,1
NewDep,51d8e7fbffe34dc1c75ad28b49d0bcd210792424,2013-11,1
NewDep,f5ae18ece391c3bbf03bb1edc5fdcf23dc8b7e54,2013-11,1
NewDep,77f7ce9a9f636daaa65731a833bae1311a7b80e5,2013-11,1
NewDep,bc912b0d237c1d376214616ae0c9d12b7d542ab4,2013-11,1
NewDep,77873803363c9e831fc1d1e6895c084279090c22,2013-12,1
