pattern,commit,date,count
AddDep,ca40e295018f7df46c7b8a12c3e82b88418322fb,2013-09,1
AddDep,f735bba4cc1435d0e9107f77f26f96a3483db0b1,2013-09,1
AddDep,80d26236c7c583ea2f43b68008ab7e067102c62c,2013-09,1
AddDep,4b88e330914941c86198ca0b48f4ce16f112bbf0,2013-09,1
AddDep,66bf8fa2aca2ec215ce3f5bb0fdffe1a79192b57,2013-10,1
AddDep,1d3d59108e53ce9815651ee20633506d559bacf6,2013-10,1
AddDep,7e66e2689cc3ec18b12ef95e6ed094a367886f50,2013-10,1
AddDep,4777f79689bc722d12b3cfa1e2e92809cbe7bb38,2013-10,1
AddDep,6197c34425c3d9a622d3a7031c91104909224a67,2013-10,1
AddDep,796c8e1c3439aa6f2aef75d767defa0243ed6ead,2013-10,1
AddDep,33777f34b5cc16a9fb2cd480e7db84c8de631fde,2013-10,1
AddDep,9e3396ae42d52c5cf4064af3e7c1baffb039ff54,2013-10,1
AddDep,92359d6d65e34c99935514d706fe1ddd0b2f137c,2013-10,1
AddDep,54128df2ba578b091c563d8e698f4944020fb8d9,2013-10,1
AddDep,d4f9e7b3d12e92ede642f6f4fc7d959f06da8ccc,2013-10,1
AddDep,90890b1ef568a54547ef0490a7c15d7357b98bc9,2013-10,1
AddDep,686245bee9528a2f62fa88b1f776eacd94d858ee,2013-10,1
AddDep,2bf75084f6d9f9a91ba6e30a501ff070d8a1acf6,2013-10,1
AddDep,3352b80075a2dcc3ee6d7270620cba61878bfc05,2013-11,1
AddDep,7badfb1c34f85e2b68252e4596d96e9b76f2b0ac,2013-11,1
AddDep,9ebddac7ea2a1f4b4ce3335a78312a58dfaadb4d,2013-11,1
AddDep,72ac01274a8e03eb39756284edb4aa2804599d23,2013-11,1
AddDep,88ec6a4d836904a75bef87bfcd906193ad11d88a,2013-11,1
AddDep,930ba4a374b96560ef9fde2145cdc454a164ddcc,2013-11,1
AddDep,7cd0c298f6e09476f474b7ae6c1ca876c5d7f881,2013-12,1
AddDep,a844f38671d45ee6d981cfe41c5c4c2334578d73,2013-12,1
