pattern,commit,date,count
AddBuildAssetCA,4e646495c6153f304fe45b6564ee08d4df935bb1,2013-09,1
AddBuildAssetCA,be4fc046bed35f7a50c8d5751abf555933d864ae,2013-09,1
AddBuildAssetCA,82b0f4b7c576d22c764239662cedc63c21f02d8d,2013-09,1
AddBuildAssetCA,a01e28f692088e9789ebb0c374fdac83de59899b,2013-09,1
AddBuildAssetCA,3a6a9201897c6482573ad07ee880574147761006,2013-09,1
AddBuildAssetCA,4821ff14a32886ee95c8b2850746ec020ca65189,2013-10,1
AddBuildAssetCA,e64457191a259537bbbfaebeba9a8043786af96f,2013-10,1
AddBuildAssetCA,e0ec2f39ef9905a24d5d88238eda3dabb8d591e0,2013-10,1
AddBuildAssetCA,6bf37e5aa90f18baf5acf4874bca505dd667c37f,2013-10,1
AddBuildAssetCA,f048d548f803b57ee1dbf66702f398ba69657450,2013-10,1
AddBuildAssetCA,3197e4a123d90a2ece9488267a05fcb52766e52d,2013-10,1
AddBuildAssetCA,0398436522b5deff4c1729ac3b47e4a2280e3ee7,2013-10,1
AddBuildAssetCA,c49f4984fd45be36502e903e7a5a6a4faff42931,2013-10,1
AddBuildAssetCA,610bfc6bc99bc83680d190ebc69359a05fc7f605,2013-10,1
AddBuildAssetCA,5992234bc5f34f3069d0457090d87865ec31fe13,2013-10,1
AddBuildAssetCA,fd781337b6f8d558dd1af2aafb3b5ce784e580dc,2013-10,1
AddBuildAssetCA,aeedb370e7398fb5b39185b295d36f2da0653215,2013-10,1
AddBuildAssetCA,6a4d98d787b38a130a67e78b64182b419899623a,2013-10,1
AddBuildAssetCA,c351e29018eeb2fa3151e09a9102e223519c34d5,2013-10,1
AddBuildAssetCA,aa30a2e03a453aad9fd96c3f2d4a82c3497674e5,2013-10,1
AddBuildAssetCA,b4887e16375be312cf64642ac1d826186cb836bf,2013-10,1
AddBuildAssetCA,4779a2e99af80e133ee1c70c7093dc6cc13429a1,2013-10,1
AddBuildAssetCA,9aede1d81b12a95771db0e2f9196dd37e10aaf20,2013-10,1
AddBuildAssetCA,2f5e98802350627ad6f2e3cee4d177059fc0c2f2,2013-10,1
AddBuildAssetCA,c90d19be2716aa677d2941828d802f4cfbecab80,2013-10,1
AddBuildAssetCA,0f56438038e08e4daa460e1fdccae6d29f13e874,2013-10,1
AddBuildAssetCA,5f55c317e4a8cd5c0a70a896886914e1b09d8bd7,2013-10,1
AddBuildAssetCA,786c497a693c708465b937c05945beaea1164c12,2013-10,1
AddBuildAssetCA,32c5483a8a13a43264809144210ec114dd70b611,2013-10,1
AddBuildAssetCA,776dc38403676f499a73d32e2e7c61eb5b42f736,2013-10,1
AddBuildAssetCA,05b849111c07454fd2f5b074ca7eb56ccdb8828c,2013-11,1
AddBuildAssetCA,1902efe7f626fdebe1520f5ff11f1309ec506708,2013-11,1
AddBuildAssetCA,6fcf018ae4491dc11b080892fa9f3dbd928fdbb9,2013-11,1
AddBuildAssetCA,515de6b27f96fb7ff58f34bda6e1be44a6f9e46d,2013-11,1
AddBuildAssetCA,5fa7543041cbc2d3139e8d2178df61a33ac3f9ac,2013-11,1
AddBuildAssetCA,1b4fea0f6a2167669f429771838946864ffdf9b0,2013-11,1
AddBuildAssetCA,9a9d5c64ef8b744a50446a0467aaf49a3292ddff,2013-11,1
AddBuildAssetCA,9ca3037e60924c8fcb53977d72efa493c821eec5,2013-11,1
AddBuildAssetCA,75faef78c9a04270e388ad708a7692b5db6ed547,2013-11,1
AddBuildAssetCA,ff4b42c7532e6ed6a5ae3c9cb71395b41a0a4022,2013-11,1
AddBuildAssetCA,2984506fb6172712f83e573319baf7dbd0eb9028,2013-11,1
AddBuildAssetCA,aa4d7a4d55ab375b2f1c894ba680186e4a7c6fd6,2013-11,1
AddBuildAssetCA,0833428e7d1b250afbd41e0a4c8c247cccd15aad,2013-11,1
AddBuildAssetCA,c9c0ccae48e27b767e98a4c120976e43195dd3a7,2013-11,1
AddBuildAssetCA,7c856522069755ab9d163a24ac332cd3cb35fe30,2013-11,1
AddBuildAssetCA,9838366c1597dfd8fe5663ad02024adce2fa07fe,2013-11,1
AddBuildAssetCA,aae95ca708140307813e49af6d0d4a7205509129,2013-11,1
AddBuildAssetCA,d34603b07c4255b2b00a546d34f297ccd50ae4c6,2013-11,1
AddBuildAssetCA,c4b3a81f4e053bb13382e0ffaf69f3e7e4f124fd,2013-11,1
AddBuildAssetCA,549608eadb31eac5d579ed70a21ac722bdf72861,2013-11,1
AddBuildAssetCA,7971e23a66c94f1b9bd2d64a3e86dfbfa8c60121,2013-11,1
AddBuildAssetCA,a7e4201f0f7d47e03b851f06f8987856e8d33083,2013-12,1
AddBuildAssetCA,c17f5bb529221c7f4c0736e69ceb614da0df2838,2013-12,1
AddBuildAssetCA,78fd82238d0e5716578c326404184a27ba67fd6e,2013-12,1
