pattern,commit,date,count
Add new Optional Feature,1c33be57496d927ce05b2513ff0c108f69db4345,2013-07,1
Add new Optional Feature,b22537c682671de97c932d5addb6b7d087352aa1,2013-08,1
Add new Optional Feature,07914c84ba30e311f6bfb65b811b33a1dc094311,2013-09,1
Add new Optional Feature,aab9ba7eb2633927d0010f00c3bc7960efcd3c23,2013-09,1
Add new Optional Feature,eb869ade30a645dd2fadd89453615585f235794e,2013-09,1
Add new Optional Feature,bf29fbeaa13d3350ca71df70c705d8b883c45692,2013-09,1
Add new Optional Feature,31e4001d2e3c3f2d3b544c9891d542ee3502798e,2013-09,1
Add new Optional Feature,3615a34ea1a6c1040744449b3da223569f3221b0,2013-09,1
Add new Optional Feature,e9a03add0c6ed5341fc59ff9c76843c2888a33fa,2013-09,1
Add new Optional Feature,aed06b9cfcabf8644ac5f6f108c0b3d01522f88b,2013-09,1
Add new Optional Feature,bc407334e9a6a745de5360395282beb2690adf48,2013-09,1
Add new Optional Feature,757651e3d60e5bff705743a301d64035b919fd03,2013-09,1
Add new Optional Feature,a62b01cd6cc1feb5e80d64d6937c291473ed82cb,2013-09,1
Add new Optional Feature,3cb989501c2688cacbb7dc4b0d353faf838f53a1,2013-09,1
Add new Optional Feature,4b10884eb428c243ae2070a539612e645f3d9b93,2013-09,1
Add new Optional Feature,9fd379e929a2808208b1d2d4cd9697067e83a242,2013-09,1
Add new Optional Feature,b170d8ce3f81bd97e85756e9184779a56a5f55a7,2013-09,1
Add new Optional Feature,aa27badd8972adb731f05d49ab74ec63e0826935,2013-09,1
Add new Optional Feature,bb38919ec56e0758c3ae56dfc091dcde1391353e,2013-09,1
Add new Optional Feature,ff764963479a1b18721ab96e531404c50fefe8b1,2013-09,1
Add new Optional Feature,0d0771ab2bd5f57a62db91f26bba1e9f522d16cb,2013-09,1
Add new Optional Feature,1f52c65975ba16cdba1830ba216776111197a3ee,2013-09,1
Add new Optional Feature,7c3ad056ef79fd10f5f111c807ccbd9fa9068c7f,2013-09,1
Add new Optional Feature,d974ce4f3bc19f9b228e1ec4964a580f350a6ffa,2013-10,1
Add new Optional Feature,e4e7f10bfc4069925e99cc4b428c3434e30b6c3f,2013-10,1
Add new Optional Feature,562d4d59b8a1d5f3ca75115d6ac10c7b7bc68c06,2013-10,1
Add new Optional Feature,308964caeebc45eb7723c87818076f61fa1a2e1b,2013-10,1
Add new Optional Feature,ddeccb8d6b5bbe2c1e3a29f8c74b52f170c2207d,2013-10,1
Add new Optional Feature,0086df273cf8c7e270f8930cc42d7dad15060516,2013-10,1
Add new Optional Feature,e3da5b36d48a8e55d1549da016e4c38ff3c0d0fc,2013-10,1
Add new Optional Feature,a4ed412ed5934127ba88ba007b9a00617ae47f75,2013-10,1
Add new Optional Feature,ed1efb2aefbbc6f5a3da5b42158bfb753ba6fe82,2013-10,1
Add new Optional Feature,c8ce878206076b159ee9488133aa51314570da38,2013-10,1
Add new Optional Feature,5578b266e9ae05391d53b446acf23818256ff13f,2013-10,1
Add new Optional Feature,8e84c25821698bdef73c0329fb2022a4673b7adc,2013-10,1
Add new Optional Feature,66548e40583b1470300341c6784fdc5176f7609f,2013-10,1
Add new Optional Feature,c63a164271f81220ff4966d41218a9101f3d0ec4,2013-10,1
Add new Optional Feature,1c6b7c2108bdb0c6a17044830028a649dbaca913,2013-10,1
Add new Optional Feature,5aad0db1c1ebb0f5be79f0adbecc16a2f0259b21,2013-10,1
Add new Optional Feature,069d2e26e9d64ba7e04c2c255efdfd1238789ca6,2013-10,1
Add new Optional Feature,74988e8b5718b561457fd035dc3ab9b9d8f45a5d,2013-10,1
Add new Optional Feature,75d2364ea0cab3a95be3f8d1f8dabd20ac4b1b2a,2013-10,1
Add new Optional Feature,e590d451908329fee0515a4ec397154a16cfc8c4,2013-10,1
Add new Optional Feature,2d281d8196e38dd3a4ee9af26621ddde8329f269,2013-10,1
Add new Optional Feature,e5553f089a5604df2108f767392e67d4eedb330c,2013-10,1
Add new Optional Feature,4c336e4b1556f4b722ba597bc6e3df786968a600,2013-10,1
Add new Optional Feature,a2871c62e1865c45f87a9343de76f727fb7a0ffd,2013-10,1
Add new Optional Feature,bb6febdc90efe7f664328075c204eed8e9af7ec9,2013-10,1
Add new Optional Feature,9c9b781804e0a278e258f81dfc31c50f80867730,2013-10,1
Add new Optional Feature,60013b94d9530346db963474f7fde8aecabaff25,2013-10,1
Add new Optional Feature,d460a6f3d67a8558fb58299518077888b7dbf5f3,2013-10,1
Add new Optional Feature,39631b5f9584672d0b7de92619f85a113837600b,2013-10,1
Add new Optional Feature,f2298c0403b0dfcaef637eba0c02c4a06d7a25ab,2013-10,1
Add new Optional Feature,ee08997fee16f10be23c9748d609dbdf3baab8e4,2013-10,1
Add new Optional Feature,c6ce2b6bffe5740d572fdc5b5e690d5261abee51,2013-10,1
Add new Optional Feature,ce77399226313a72578b5b0d67e289d3f165b8ba,2013-10,1
Add new Optional Feature,30612cd90005d8c4a3c53c7acadcf934a46c13df,2013-10,1
Add new Optional Feature,e16dbf6011137343f51685c1e0c5be36a68fc501,2013-10,1
Add new Optional Feature,47ac9aa165540b43deb3582f186073884de1cf3b,2013-10,1
Add new Optional Feature,0d289788247a4751b2dfa0a23960ac4de9450a94,2013-10,1
Add new Optional Feature,ba3eb9fce31571257f90c5e610ad74d6dd59b1f2,2013-10,1
Add new Optional Feature,80f93c7b0f4599ffbdac8d964ecd1162b8b618b9,2013-10,1
Add new Optional Feature,c6d81bd7237b5785080087bcf796ce456ef69557,2013-10,1
Add new Optional Feature,8a73cd4cfa159918da405d9645deca842590e2fe,2013-11,1
Add new Optional Feature,41c47d8cfd685cae6b08f9300fef12e602609b26,2013-11,1
Add new Optional Feature,9da8312048edcf246ac1d7ab6aa0293f252de559,2013-11,1
Add new Optional Feature,b0db7b0c21a014d01be1018db68e78ebf7d4f0d7,2013-11,1
Add new Optional Feature,e67f86b31ae5be8a88bec27b5ecb18dc2ffc9c56,2013-11,1
Add new Optional Feature,623fd8072c7c4d77a184bc9e35192acf480c18e4,2013-11,1
Add new Optional Feature,b45062619840a56c090bab57df7b0fb36a30c2af,2013-11,1
Add new Optional Feature,85b4fab2696000369176dd222dc3001d4a7e0fa6,2013-11,1
Add new Optional Feature,93d17247118ca533edd489f8e09bde417f4720ce,2013-11,1
Add new Optional Feature,e14538e0db8d880291064348bda7d52ec8322675,2013-11,1
Add new Optional Feature,473cf939ff3442dc86d531f3bb152a2f129ea9d1,2013-11,1
Add new Optional Feature,f0fcbdbf202e2be36c8eb6d1f5c01f95805777de,2013-11,1
Add new Optional Feature,cd59c2ec5f37a2bc1315c9324aab6c21d43ffa1a,2013-11,1
Add new Optional Feature,d208383d640727b70cd6689bc17e67e9b5ebf4ff,2013-11,1
Add new Optional Feature,bdb5c57f209c3b78b3511476b233562496acd997,2013-11,1
