pattern,commit,date,count
Remove unused Assets,a72be8b89eb97655ea9b474bc7d6306672a922c2,2013-10,1
Remove unused Assets,e4a49a6015efa6bd35f107640a497380d5e4ed48,2013-10,1
Remove unused Assets,5116b1defad7cec648384c2d1bc0b7460d305c93,2013-10,1
Remove unused Assets,9485099209d8057c4b6857855cc15334ae84d1c2,2013-10,1
Remove unused Assets,deba326bfd863c2e96e792ea641023448894770b,2013-10,1
Remove unused Assets,8fa9cf5d8ad72fee546ae1dfbe311b76317aba51,2013-10,1
Remove unused Assets,a690876385f29c740798cb99aa2511217ecd9954,2013-10,1
Remove unused Assets,72d944ec7eeb195db96942d5a9f907a312e23313,2013-12,1
